variable_names,hhtotals,hsize,hsize,hsize,hsize,hsize,hsize,hsize,hinc,hinc,hinc,hinc,hinc
variable_categories,1,1,2,3,4,5,6,7,1,2,3,4,5
geo,,,,,,,,,,,,,
4013104225,1325,236,527,244,204,73,23,18,119,233,370,226,377
4013104226,1711,547,546,317,144,96,61,0,139,483,644,178,267
4013104227,825,285,258,101,122,43,0,16,58,269,291,88,119
4013104301,1147,174,396,152,226,137,30,32,63,284,400,212,188
4013104302,1778,874,482,193,219,10,0,0,417,558,603,111,89
4013104401,2139,1056,576,247,117,44,99,0,292,689,921,125,112
4013104402,1128,391,273,330,134,0,0,0,138,319,428,194,49
4013104501,1294,501,270,217,108,103,35,60,397,423,342,68,64
4013104502,1514,284,424,246,180,227,93,60,372,534,477,60,71
4013104600,1733,649,607,113,175,101,77,11,238,510,664,165,156
4013104701,1256,669,342,50,124,47,0,24,278,337,502,79,60
4013104702,1708,726,480,239,130,100,8,25,390,579,537,30,172
4013104801,1453,333,679,239,118,84,0,0,61,182,333,147,730
4013104802,2535,924,994,316,149,134,18,0,259,390,543,331,1012
4013104900,1569,362,574,236,290,67,28,12,98,207,522,209,533
4013105002,1126,223,527,146,135,54,13,28,136,41,141,91,717
4013105003,1744,311,736,285,296,47,62,7,122,147,187,114,1174
4013105004,1401,321,632,163,154,107,24,0,73,111,140,91,986
4013105101,1700,325,813,227,286,42,0,7,53,157,306,144,1040
4013105102,2304,1002,915,227,66,94,0,0,244,274,563,240,983
4013105103,1339,337,682,130,96,80,14,0,88,80,185,137,849
4013105200,2670,1025,842,345,207,201,13,37,383,661,876,102,648
4013105300,2319,915,710,256,165,129,54,90,371,358,751,370,469
4013105400,1425,279,688,138,178,55,77,10,109,193,346,180,597
4013105501,971,273,271,179,108,67,27,46,232,306,307,50,76
4013105502,943,469,217,156,68,20,13,0,240,373,268,57,5
4013105503,1723,1008,324,210,112,42,19,8,572,544,478,14,115
4013105601,1210,187,337,187,163,145,129,62,197,420,393,94,106
4013105602,1992,475,569,303,356,180,100,9,383,793,572,119,125
4013105701,1147,348,305,248,105,63,70,8,112,288,513,114,120
4013105702,1341,416,335,170,175,167,69,9,256,359,464,156,106
