hid,sample_geo,gqrtotals,gqtotals
2012000250884.00,205,1,1
2012000252196.00,300,1,1
2012000252332.00,119,1,1
2012000252334.00,116,1,1
2012000252496.00,500,1,1
2012000252544.00,132,1,1
2012000253246.00,126,1,1
2012000253807.00,700,1,1
2012000253834.00,119,1,1
2012000253907.00,500,1,1
2012000254659.00,900,1,1
2012000256718.00,206,1,1
2012000256773.00,500,1,1
2012000257081.00,900,1,1
2012000257224.00,900,1,1
2012000257596.00,805,1,1
2012000257646.00,805,1,1
2012000257753.00,805,1,1
2012000258589.00,805,1,1
2012000259037.00,805,1,1
2012000259383.00,300,1,1
2012000259500.00,400,1,1
2012000260964.00,113,1,1
2012000261247.00,500,1,1
2012000262501.00,805,1,1
2012000262693.00,700,1,1
2012000262941.00,400,1,1
2012000263807.00,119,1,1
2012000263888.00,300,1,1
2012000263988.00,900,1,1
2012000264287.00,130,1,1
2012000264722.00,103,1,1
2012000267151.00,805,1,1
2012000267234.00,205,1,1
2012000267935.00,800,1,1
2012000268182.00,700,1,1
2012000268346.00,206,1,1
2012000268670.00,207,1,1
2012000268690.00,118,1,1
2012000269216.00,109,1,1
2012000269271.00,805,1,1
2012000269679.00,109,1,1
2012000269790.00,119,1,1
2012000270145.00,800,1,1
2012000270725.00,126,1,1
2012000271522.00,700,1,1
2012000272031.00,207,1,1
2012000273126.00,100,1,1
2012000273396.00,109,1,1
2012000273851.00,109,1,1
2012000273919.00,600,1,1
2012000274100.00,208,1,1
2012000274688.00,600,1,1
2012000274822.00,110,1,1
2012000275662.00,118,1,1
2012000276199.00,805,1,1
2012000276223.00,807,1,1
2012000276728.00,103,1,1
2012000276829.00,119,1,1
2012000277079.00,204,1,1
2012000277646.00,700,1,1
2012000278401.00,207,1,1
2012000278485.00,102,1,1
2012000278939.00,110,1,1
2012000279013.00,118,1,1
2012000279650.00,134,1,1
2012000280299.00,805,1,1
2012000280349.00,113,1,1
2012000280878.00,205,1,1
2012000281003.00,104,1,1
2012000281332.00,500,1,1
2012000281882.00,805,1,1
2012000282491.00,300,1,1
2012000283236.00,207,1,1
2012000283827.00,500,1,1
2012000283958.00,207,1,1
2012000284853.00,105,1,1
2012000284944.00,119,1,1
